seed,alpha,gamma,q_iterations,epsilon,epsilon_min,epsilon_decay,steps_taken,finished,sweep_type,run_idx
13049,0.6,0.9,1,0.9,0.05,0.995,23,True,alpha_gamma_q_iterations,7
13050,0.6,0.9,1,0.9,0.05,0.995,94,True,alpha_gamma_q_iterations,8
13051,0.6,0.9,1,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,9
14042,0.6,0.9,5,0.9,0.05,0.995,80,True,alpha_gamma_q_iterations,0
14043,0.6,0.9,5,0.9,0.05,0.995,21,True,alpha_gamma_q_iterations,1
14044,0.6,0.9,5,0.9,0.05,0.995,69,True,alpha_gamma_q_iterations,2
14045,0.6,0.9,5,0.9,0.05,0.995,105,True,alpha_gamma_q_iterations,3
14046,0.6,0.9,5,0.9,0.05,0.995,63,True,alpha_gamma_q_iterations,4
14047,0.6,0.9,5,0.9,0.05,0.995,33,True,alpha_gamma_q_iterations,5
14048,0.6,0.9,5,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,6
14049,0.6,0.9,5,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,7
14050,0.6,0.9,5,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,8
14051,0.6,0.9,5,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,9
15042,0.6,0.9,10,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,0
15043,0.6,0.9,10,0.9,0.05,0.995,38,True,alpha_gamma_q_iterations,1
15044,0.6,0.9,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,2
15045,0.6,0.9,10,0.9,0.05,0.995,4,True,alpha_gamma_q_iterations,3
15046,0.6,0.9,10,0.9,0.05,0.995,26,True,alpha_gamma_q_iterations,4
15047,0.6,0.9,10,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,5
15048,0.6,0.9,10,0.9,0.05,0.995,6,True,alpha_gamma_q_iterations,6
15049,0.6,0.9,10,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,7
15050,0.6,0.9,10,0.9,0.05,0.995,24,True,alpha_gamma_q_iterations,8
15051,0.6,0.9,10,0.9,0.05,0.995,8,True,alpha_gamma_q_iterations,9
16042,0.6,0.95,1,0.9,0.05,0.995,74,True,alpha_gamma_q_iterations,0
16043,0.6,0.95,1,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,1
16044,0.6,0.95,1,0.9,0.05,0.995,28,True,alpha_gamma_q_iterations,2
16045,0.6,0.95,1,0.9,0.05,0.995,33,True,alpha_gamma_q_iterations,3
16046,0.6,0.95,1,0.9,0.05,0.995,6,True,alpha_gamma_q_iterations,4
16047,0.6,0.95,1,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,5
16048,0.6,0.95,1,0.9,0.05,0.995,134,True,alpha_gamma_q_iterations,6
16049,0.6,0.95,1,0.9,0.05,0.995,20,True,alpha_gamma_q_iterations,7
16050,0.6,0.95,1,0.9,0.05,0.995,73,True,alpha_gamma_q_iterations,8
16051,0.6,0.95,1,0.9,0.05,0.995,122,True,alpha_gamma_q_iterations,9
17042,0.6,0.95,5,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,0
17043,0.6,0.95,5,0.9,0.05,0.995,59,True,alpha_gamma_q_iterations,1
17044,0.6,0.95,5,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,2
17045,0.6,0.95,5,0.9,0.05,0.995,31,True,alpha_gamma_q_iterations,3
17046,0.6,0.95,5,0.9,0.05,0.995,141,True,alpha_gamma_q_iterations,4
17047,0.6,0.95,5,0.9,0.05,0.995,10,True,alpha_gamma_q_iterations,5
17048,0.6,0.95,5,0.9,0.05,0.995,54,True,alpha_gamma_q_iterations,6
17049,0.6,0.95,5,0.9,0.05,0.995,43,True,alpha_gamma_q_iterations,7
17050,0.6,0.95,5,0.9,0.05,0.995,47,True,alpha_gamma_q_iterations,8
17051,0.6,0.95,5,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,9
18042,0.6,0.95,10,0.9,0.05,0.995,35,True,alpha_gamma_q_iterations,0
18043,0.6,0.95,10,0.9,0.05,0.995,12,True,alpha_gamma_q_iterations,1
18044,0.6,0.95,10,0.9,0.05,0.995,78,True,alpha_gamma_q_iterations,2
18045,0.6,0.95,10,0.9,0.05,0.995,41,True,alpha_gamma_q_iterations,3
18046,0.6,0.95,10,0.9,0.05,0.995,38,True,alpha_gamma_q_iterations,4
18047,0.6,0.95,10,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,5
18048,0.6,0.95,10,0.9,0.05,0.995,30,True,alpha_gamma_q_iterations,6
18049,0.6,0.95,10,0.9,0.05,0.995,56,True,alpha_gamma_q_iterations,7
18050,0.6,0.95,10,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,8
18051,0.6,0.95,10,0.9,0.05,0.995,64,True,alpha_gamma_q_iterations,9
19042,0.8,0.8,1,0.9,0.05,0.995,33,True,alpha_gamma_q_iterations,0
19043,0.8,0.8,1,0.9,0.05,0.995,37,True,alpha_gamma_q_iterations,1
19044,0.8,0.8,1,0.9,0.05,0.995,22,True,alpha_gamma_q_iterations,2
19045,0.8,0.8,1,0.9,0.05,0.995,25,True,alpha_gamma_q_iterations,3
19046,0.8,0.8,1,0.9,0.05,0.995,23,True,alpha_gamma_q_iterations,4
19047,0.8,0.8,1,0.9,0.05,0.995,103,True,alpha_gamma_q_iterations,5
19048,0.8,0.8,1,0.9,0.05,0.995,131,True,alpha_gamma_q_iterations,6
19049,0.8,0.8,1,0.9,0.05,0.995,60,True,alpha_gamma_q_iterations,7
19050,0.8,0.8,1,0.9,0.05,0.995,26,True,alpha_gamma_q_iterations,8
19051,0.8,0.8,1,0.9,0.05,0.995,24,True,alpha_gamma_q_iterations,9
20042,0.8,0.8,5,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,0
20043,0.8,0.8,5,0.9,0.05,0.995,45,True,alpha_gamma_q_iterations,1
20044,0.8,0.8,5,0.9,0.05,0.995,74,True,alpha_gamma_q_iterations,2
20045,0.8,0.8,5,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,3
20046,0.8,0.8,5,0.9,0.05,0.995,12,True,alpha_gamma_q_iterations,4
20047,0.8,0.8,5,0.9,0.05,0.995,39,True,alpha_gamma_q_iterations,5
20048,0.8,0.8,5,0.9,0.05,0.995,46,True,alpha_gamma_q_iterations,6
20049,0.8,0.8,5,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,7
20050,0.8,0.8,5,0.9,0.05,0.995,101,True,alpha_gamma_q_iterations,8
20051,0.8,0.8,5,0.9,0.05,0.995,27,True,alpha_gamma_q_iterations,9
